#x/H z/H N ux_rms/Uc uz_rms/Uc uy_rms/Uc
1.00E+00 1.60E+00 938 6.26E-02 4.06E-02 4.60E-02
1.00E+00 1.63E+00 968 5.95E-02 4.24E-02 4.63E-02
1.00E+00 1.65E+00 873 5.91E-02 4.08E-02 4.31E-02
1.00E+00 1.67E+00 941 5.61E-02 4.08E-02 4.59E-02
1.00E+00 1.70E+00 982 5.58E-02 4.15E-02 4.20E-02
1.00E+00 1.72E+00 968 5.71E-02 4.07E-02 4.00E-02
1.00E+00 1.75E+00 934 5.31E-02 3.89E-02 3.89E-02
1.00E+00 1.77E+00 891 5.30E-02 3.89E-02 3.88E-02
1.00E+00 1.80E+00 870 5.09E-02 3.81E-02 3.68E-02
1.00E+00 1.82E+00 897 4.69E-02 4.02E-02 3.83E-02
1.00E+00 1.85E+00 853 4.90E-02 3.84E-02 3.63E-02
1.00E+00 1.87E+00 916 4.62E-02 3.72E-02 3.70E-02
1.00E+00 1.89E+00 894 4.49E-02 3.67E-02 3.35E-02
1.00E+00 1.92E+00 858 4.52E-02 3.80E-02 3.47E-02
1.00E+00 1.94E+00 845 4.46E-02 3.68E-02 3.52E-02
1.00E+00 1.97E+00 809 4.41E-02 3.91E-02 3.41E-02
1.00E+00 1.99E+00 838 4.52E-02 3.77E-02 3.67E-02
1.00E+00 2.02E+00 756 4.43E-02 3.97E-02 3.58E-02
1.00E+00 2.04E+00 777 4.42E-02 3.83E-02 3.62E-02
1.00E+00 2.07E+00 785 4.47E-02 3.77E-02 3.69E-02
1.00E+00 2.09E+00 768 4.67E-02 3.87E-02 3.76E-02
1.00E+00 2.11E+00 814 4.97E-02 3.82E-02 3.61E-02
1.00E+00 2.14E+00 842 4.81E-02 3.98E-02 3.95E-02
1.00E+00 2.16E+00 789 5.50E-02 4.09E-02 3.68E-02
1.00E+00 2.19E+00 762 5.42E-02 4.20E-02 4.11E-02
1.00E+00 2.21E+00 797 5.56E-02 4.11E-02 4.02E-02
1.00E+00 2.24E+00 672 5.62E-02 4.16E-02 4.10E-02
1.00E+00 2.26E+00 747 5.88E-02 4.25E-02 4.43E-02
1.00E+00 2.29E+00 646 5.89E-02 4.22E-02 4.14E-02
1.00E+00 2.31E+00 623 5.86E-02 4.16E-02 4.30E-02
1.00E+00 2.33E+00 609 6.40E-02 4.62E-02 4.60E-02
1.00E+00 2.36E+00 603 6.25E-02 4.45E-02 4.85E-02
